Timestamp,I had read the above information and would like to participate in the user study.,What is your education level?,Do you have experience in the software development industry?,Do you have experience in Android software development?,How many years of programming experience do you have?,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Returns the first IP address of the preferred type in the network interface"" and ""Get the ip of the computer on linux through Java.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Writes the value of o into a new object of output stream"" and ""Serialize object with outputstream.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""construct the image of halved dimensions, render it through bilinear interpolation, and display the result."" and ""Creating a scaled version of an image."" ",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Serialize the output object stream and deserialize the input object stream"" and ""Is more reliable to read and write (String) objects, which bypasses the encoding/decoding gamble.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Delete all files within the directory through recursion"" and ""Delete a folder with files using Java.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Load scratch_file_is into a new Properties object"" and ""So the first thing you have to is read the properties file in.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Retrieve the date and time"" and ""If you want to extract more human-readable date/time information from that Calendar object, you can do something like.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Return the file input stream as a character array"" and ""Close an established network connection.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Reads the input line-by-line and appends the separator between them"" and ""Here is a function to read the file.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Returns the date and time up to millisecond precision"" and ""Get year, month, day, hours, minutes, seconds and milliseconds of the current moment in Java.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Load scratch_file_is into a new Properties object"" and ""try to load a Properties object first.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Returns the scaling factor of the sample compared to the ideal dimensions"" and ""Calculate sample size.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""If the external storage is read-only, then report it"" and ""Get path to secondary external directory for Camera files.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Checks whether hardware acceleration is activated on the current window, or in the manifest"", ""Detect Hardware Acceleration at Runtime.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Combine all the texts using [ ] for the second text onwards"" and ""Is often best to use StringBuilder to concatenate strings.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Please write your comment that describes the functionality of the above marked code segment,"Please compare the two comments: ""Construct the currView object from convertView and set its text view and image view"" and ""In the code example under the referred link the author sets values for the view only at creation time, so each time the framework is reusing the view, it has the same properties.""",Which comment is more accurate in describing the marked code:,"Which comment is more adequate (i.e., not missing information) in describing the marked code:","Which comment is more concise (i.e., straight to the point) in describing the marked code:",Which comment helps better understand the marked code:,Do you think it is helpful to have a tool that generates comments automatically for the source code?,The first comment is written by a human and the second comment is generated automatically. Will you use a tool that can generate comments automatically?
30/05/2016 13:49:07,I would like to participate into the user study.,Undergraduate Student,Yes,No,6,Returns the first non-loopback address of the preferred type (v4 or v6).,I had read this comment.,2,2,4,3,Converts the passed object to a byte array.,I had read this comment.,4,3,4,4,Halves the dimensions of im,I had read this comment.,3,1,5,4,Clones the passed node by serializing then deserializing it.,I had read this comment.,2,4,1,4,Recursively deletes a directory tree in the file system.,I had read this comment.,3,2,2,1,Loads properties through the input stream.,I had read this comment.,2,3,1,4,Get individual time components from cal,I had read this comment.,3,4,1,4,Tries to get file contents as a char array. Handles errors by ignoring them.,I had read this comment.,1,1,3,1,"Read file into a StringBuilder, fixing newlines removed by readLine.",I had read this comment.,3,1,4,2,Gets the time components stored in cal.,I had read this comment.,3,3,2,3,Loads properties from the file.,I had read this comment.,1,2,3,1,"Returns the size provided in options, possibly scaled down to fit the provided ideal dimensions.",I had read this comment.,1,1,4,1,Prints a message if the external storage is mounted read only.,I had read this comment.,1,1,3,1,Checks if the given activity has hardware acceleration enabled in the window or in the manifest.,I had read this comment.,3,1,5,2,"Concatenates newTexts with spaces, with all but the first string surrounded by square brackets",I had read this comment.,1,2,3,1,"Initializes convertView, or a newly created view if convertView is null.",I had read this comment.,2,4,2,4,Yes,Maybe
27/05/2016 15:42:18,I would like to participate into the user study.,Undergraduate Student,Yes,No,4,"Find a non-loopback address corresponding to IPv4 or IPv6, whichever is preferred",I had read this comment.,2,1,4,1,Writes the object o to a byte array,I had read this comment.,5,2,4,4,Convert the image using bilinear interpolation,I had read this comment.,3,1,5,3,Serialize the DocumentElementNode to a byte array,I had read this comment.,3,1,1,3,Recursively traverse the files and delete them,I had read this comment.,2,1,3,1,Load properties from a scratch file,I had read this comment.,4,3,3,3,Retrieve time properties from the calendar,I had read this comment.,3,3,1,3,Read a file with the specified encoding to a char array,I had read this comment.,1,1,3,1,Read input line by line from a source file,I had read this comment.,2,3,2,2,Extract time data from the calendar,I had read this comment.,3,3,1,3,Load properties from a scratch file,I had read this comment.,2,2,3,1,Find the scaling factor to reduce the image to the ideal width or height,I had read this comment.,3,3,4,3,Check external storage state to determine whether to show text,I had read this comment.,1,2,2,2,Determines whether hardware acceleration is enabled in the window or the activity,I had read this comment.,3,2,4,2,"Concatenate each text, separating with brackets",I had read this comment.,1,1,2,1,"Inflate an icon or take the current view, then update the image and text",I had read this comment.,3,2,2,3,Depends if the tool is accurate or not.,No
27/05/2016 16:10:16,I would like to participate into the user study.,Graduate Student,Yes,Yes,3,find the first not loop back address with ipv4/6 preference,I had read this comment.,1,1,1,1,Serialize o to byte array,I had read this comment.,2,3,5,4,draw imgae with halved size,I had read this comment.,2,2,2,1,serialize node to bytes array and output it then deserialize the byte array,I had read this comment.,2,2,2,2,delete everything inside file recursively,I had read this comment.,1,1,1,1,properties try to load file input stream named scratch_file_name,I had read this comment.,2,2,1,2,get time information from cal,I had read this comment.,1,1,1,1,return file content as char array throug fileinputstream and close the stream before end,I had read this comment.,1,1,1,1,read content from source file and append it to stringbuilder,I had read this comment.,1,1,1,1,get time information from cal,I had read this comment.,5,4,5,5,load file input stream scratch_file_is into properties,I had read this comment.,1,1,1,1,"calculate the ratio of height,idealHeight or width,idealWidth of the smaller one among height and width",I had read this comment.,1,1,2,1,check external storage to see if environment has mounted space or mounted read only space ,I had read this comment.,1,1,1,1,return true if given activity has hardware acceleration enabled in its foreground window or in its activity info,I had read this comment.,5,3,5,5,"append strings from newTexts to newTextCombined, first string is append directly, other strings appended in brackets",I had read this comment.,1,1,1,1,Use currView to get textview and imageview and set new text,I had read this comment.,2,3,2,2,Maybe,Maybe
,,,,,,,,,,,,,Total,11,8,13,12,0,0,8,4,12,8,0,0,7,7,4,9,0,0,6,4,6,3,0,0,8,8,5,9,0,0,7,8,3,8,0,0,3,3,7,3,0,0,6,5,7,5,0,0,11,10,8,11,0,0,4,5,7,3,0,0,5,5,10,5,0,0,3,4,6,4,0,0,11,6,14,9,0,0,3,4,6,3,0,0,7,9,6,9,0,0
,,,,,,,,,,,,,Average Score,3.666666667,2.666666667,4.333333333,4,0,0,2.666666667,1.333333333,4,2.666666667,0,0,2.333333333,2.333333333,1.333333333,3,0,0,2,1.333333333,2,1,0,0,2.666666667,2.666666667,1.666666667,3,0,0,2.333333333,2.666666667,1,2.666666667,0,0,1,1,2.333333333,1,0,0,2,1.666666667,2.333333333,1.666666667,0,0,3.666666667,3.333333333,2.666666667,3.666666667,0,0,1.333333333,1.666666667,2.333333333,1,0,0,1.666666667,1.666666667,3.333333333,1.666666667,0,0,1,1.333333333,2,1.333333333,0,0,3.666666667,2,4.666666667,3,0,0,1,1.333333333,2,1,0,0,2.333333333,3,2,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Number of 1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,1,2,1,3,0,0,0,0,2,0,0,0,1,1,3,1,0,0,3,3,1,3,0,0,1,2,1,1,0,0,0,0,1,0,0,0,2,1,1,3,0,0,2,2,0,2,0,0,3,2,1,2,0,0,0,1,0,0,0,0,3,2,1,3,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,Number of 2,1,1,0,0,0,0,1,1,1,0,0,0,2,1,1,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,2,1,3,1,0,0
,,,,,,,,,,,,,Number of 3,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,1,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
,,,,,,,,,,,,,Number of 4,1,0,2,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
,,,,,,,,,,,,,Number of 5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of all 1s,16,19,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of all 2s,11,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of all 3s,13,11,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of all 4s,2,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of all 5s,3,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1%,35.55555556,42.22222222,31.11111111,42.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2%,24.44444444,24.44444444,24.44444444,17.77777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3%,28.88888889,24.44444444,17.77777778,17.77777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4%,4.444444444,8.888888889,13.33333333,17.77777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5%,6.666666667,0,13.33333333,4.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,